,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
1933,11100,"Blocks of flats, two-room flat",1225.0,1154.0,1400.0,1565.0,1727.0,1503.0,1,1,0,Riihimäki Keskus   (Riihimäki )
1939,11120,"Blocks of flats, two-room flat",1167.0,1167.0,1167.0,1167.0,1167.0,1167.0,1,5,3,Pohjois-Riihimäki   (Riihimäki )
1945,11130,"Blocks of flats, two-room flat",1402.0,1310.0,1334.3333333333333,1358.6666666666667,1383.0,1383.0,1,5,3,Peltosaari-Patastenmäki   (Riihimäki )
1957,11710,"Blocks of flats, two-room flat",1327.0,1327.0,1327.0,1327.0,1327.0,1327.0,1,5,3,Herajoki   (Riihimäki )
1963,11910,"Blocks of flats, two-room flat",1153.032258064516,1143.0,1143.0,1143.0,1143.0,1143.0,1,5,3,Lasi-Kumela   (Janakkala )
1999,12400,"Blocks of flats, two-room flat",837.5,854.75,872.0,723.0,723.0,723.0,3,3,4,Tervakoski   (Janakkala )
2029,13100,"Blocks of flats, two-room flat",2248.0,2135.0,2242.0,2054.0,2134.0,2340.0,5,0,5,Hämeenlinna Keskus   (Hämeenlinna )
2041,13130,"Blocks of flats, two-room flat",1558.0,1649.0,1661.0,1598.0,1799.0,1997.0,1,1,0,Kauriala   (Hämeenlinna )
2047,13200,"Blocks of flats, two-room flat",2541.0,2541.0,2541.0,2541.0,2541.0,2541.0,5,6,6,Keinusaari   (Hämeenlinna )
2053,13210,"Blocks of flats, two-room flat",1465.5,1235.0,1341.0,1332.0,1548.0,1839.0,1,1,0,Hätilä   (Hämeenlinna )
2059,13220,"Blocks of flats, two-room flat",2736.0,2736.0,2736.0,2736.0,2736.0,2736.0,5,6,6,Sairio   (Hämeenlinna )
2095,13500,"Blocks of flats, two-room flat",1421.0,1421.0,1421.0,1421.0,1421.0,1421.0,1,1,0,Jukola   (Hattula )
2101,13600,"Blocks of flats, two-room flat",1404.0,1404.0,1404.0,1404.0,1404.0,1404.0,1,5,3,Ojoinen   (Hämeenlinna )
2113,13720,"Blocks of flats, two-room flat",1590.0,1590.0,1590.0,1590.0,1590.0,1590.0,1,1,0,Parola   (Hattula )
2137,14200,"Blocks of flats, two-room flat",1270.1176470588234,1274.2941176470588,1278.4705882352941,1282.6470588235295,1286.8235294117646,1291.0,1,5,3,Turenki   (Janakkala )
2197,15100,"Blocks of flats, two-room flat",1903.0,2117.0,2297.0,1848.0,2058.0,2173.0,5,0,5,Lahti Asemanseutu   (Lahti )
2203,15110,"Blocks of flats, two-room flat",2594.0,2205.0,2282.0,2282.0,2290.0,2796.0,5,6,6,Keski-Lahti   (Lahti )
2209,15140,"Blocks of flats, two-room flat",2289.0,2092.0,2302.0,2403.0,2612.0,2563.0,5,6,6,Kartano-Paavola   (Lahti )
2215,15150,"Blocks of flats, two-room flat",1786.0,1403.0,1544.0,1858.0,1342.0,1585.0,1,1,0,Möysä   (Lahti )
2227,15170,"Blocks of flats, two-room flat",1618.0,1350.5,1083.0,1015.5,948.0,948.0,1,5,3,Tenava-Tonttila   (Lahti )
2233,15200,"Blocks of flats, two-room flat",1169.4,1140.6,1111.8,1083.0,1083.0,1083.0,1,5,3,Kiveriö   (Lahti )
2239,15210,"Blocks of flats, two-room flat",1394.0,1362.0,1330.0,1327.5,1325.0,1488.0,1,5,3,Kivistönmäki   (Lahti )
2251,15240,"Blocks of flats, two-room flat",934.0,973.5,1013.0,963.0,1165.0,1165.0,3,3,7,Mukkula   (Lahti )
2269,15320,"Blocks of flats, two-room flat",1414.047619047619,1415.2857142857142,1416.5238095238096,1417.7619047619048,1419.0,1419.0,1,1,0,Ahtiala   (Lahti )
2281,15500,"Blocks of flats, two-room flat",977.0,968.8,960.6,952.4,944.2,936.0,3,3,7,Liipola   (Lahti )
