,Postal code,Building type,2020Q1 Price per square meter (EUR/m2),2020Q2 Price per square meter (EUR/m2),2020Q3 Price per square meter (EUR/m2),2020Q4 Price per square meter (EUR/m2),2021Q1* Price per square meter (EUR/m2),2021Q2* Price per square meter (EUR/m2),label6,label8,label10,Location
8348,80220,"Blocks of flats, three-room flat+",2617.2,2748.6,2880.0,2548.0,2548.0,2548.0,2,5,5,Penttilä   (Joensuu )
8492,81700,"Blocks of flats, three-room flat+",623.0,623.0,623.0,623.0,623.0,623.0,5,1,1,Lieksa Keskus   (Lieksa )
8654,83500,"Blocks of flats, three-room flat+",674.0,674.0,674.0,674.0,674.0,674.0,5,1,1,Outokumpu Keskus   (Outokumpu )
8708,84100,"Blocks of flats, three-room flat+",1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,5,1,8,Ylivieska Keskus   (Ylivieska )
8894,87100,"Blocks of flats, three-room flat+",1404.0,1378.0,1352.0,1429.0,1442.0,1438.0,4,0,0,Kajaani Keskus   (Kajaani )
8906,87200,"Blocks of flats, three-room flat+",1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,5,1,8,Teppana   (Kajaani )
8930,87500,"Blocks of flats, three-room flat+",803.5,768.0,732.5,697.0,697.0,697.0,5,1,1,Lehtikangas   (Kajaani )
9032,89600,"Blocks of flats, three-room flat+",816.0,816.0,816.0,816.0,816.0,816.0,5,1,9,Ämmänsaari   (Suomussalmi )
9044,90100,"Blocks of flats, three-room flat+",2308.0,2538.0,2272.0,2360.0,2166.0,2584.0,2,5,5,Oulu Keskus   (Oulu )
9050,90120,"Blocks of flats, three-room flat+",2051.0,2658.0,2444.0,2233.0,2600.0,2386.0,2,5,5,Heinäpää   (Oulu )
9056,90130,"Blocks of flats, three-room flat+",2325.0,2127.0,2377.0,2385.0,2246.0,2492.0,2,5,5,Raksila   (Oulu )
9062,90140,"Blocks of flats, three-room flat+",2653.4285714285716,2666.5714285714284,2679.714285714286,2692.8571428571427,2706.0,2767.0,2,5,5,Karjasilta   (Oulu )
9068,90150,"Blocks of flats, three-room flat+",1573.0,1480.0,1615.0,1710.5,1806.0,1806.0,4,4,4,Höyhtyä   (Oulu )
9080,90230,"Blocks of flats, three-room flat+",2322.0,2322.0,2322.0,2322.0,2322.0,2322.0,2,5,5,Värttö-Maikkula   (Oulu )
9086,90240,"Blocks of flats, three-room flat+",1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,4,0,0,Iinatti   (Oulu )
9092,90250,"Blocks of flats, three-room flat+",1494.0,1501.5,1509.0,1073.0,1273.0,1597.0,4,0,0,Kaukovainio   (Oulu )
9104,90400,"Blocks of flats, three-room flat+",2649.1111111111113,2706.3333333333335,2763.5555555555557,2820.777777777778,2878.0,2878.0,2,5,5,Äimärautio   (Oulu )
9116,90420,"Blocks of flats, three-room flat+",1951.0,2008.0,1968.0,2085.0,1994.0,2063.0,2,5,5,Metsokangas   (Oulu )
9122,90440,"Blocks of flats, three-room flat+",1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,4,4,4,Kempele Keskus   (Kempele )
9146,90500,"Blocks of flats, three-room flat+",1750.0,1527.0,1631.0,1888.0,1652.0,1974.0,4,4,4,Tuira   (Oulu )
9152,90510,"Blocks of flats, three-room flat+",2374.0,2374.0,2374.0,2374.0,2374.0,2374.0,2,5,5,Hietasaari   (Oulu )
